visitor_id	scene_key	context	setup	description	dialogue	outcome	reward	hook
spork	lost-found-peaceful	peaceful	Inventory by emotional significance	Spork calmly sorts packs, weapons, armor, tools, and travel gear into categories understood only by him.	You look like the previous owners. I sorted everything alphabetically. By emotional significance. I was safeguarding these.	Spork is delighted to discuss every recovered belonging and is more interested in a good trade or story than extracting payment.	-	Finders, keepers... mostly.
job-goblin	sweeping	any	Routine floor maintenance	A goblin in a spotless work apron sweeps debris into precise piles without looking up from the task.	Mind the third pile, please. That one has been sorted by sharpness.	The Job Goblin finishes the aisle, checks a box on a clipboard, and moves on.	A clean, unobstructed path through the room.	His work order lists a nearby area as overdue for inspection.
job-goblin	torch-rounds	any	Replacing the lights	The Job Goblin carries a ladder and a crate of fresh torches, replacing each burned stub with professional efficiency.	Illumination request was marked urgent. They are all marked urgent.	He leaves the room better lit and records the party as temporary occupants.	One fresh torch and a box of dry tinder.	The replacement schedule skips one corridor without explanation.
job-goblin	room-number	any	Correcting the signage	The Job Goblin paints a room number over three older numbers, measuring every stroke with a ruler.	Renumbering directive. Please disregard any numbers still visible underneath.	He completes the lettering, posts a wet-paint notice, and packs his brushes.	-	The crossed-out numbers suggest this section has been reorganized repeatedly.
job-goblin	bridge-inspection	any	Load-bearing paperwork	The Job Goblin taps nearby stone and timber with a tiny hammer, noting each sound on a form.	It is approved for ordinary peril. Extraordinary peril requires Form Nine.	He marks the safest visible route with white chalk.	Advantage on the DM's next check to identify unsafe construction here.	A margin note mentions settling stone near another chamber.
job-goblin	valve-check	hazard	Hazard maintenance	The Job Goblin studies the hazard from behind a portable safety screen and compares it with a thick manual.	Yes, it is doing that. No, the manual says it should not.	After the party makes the area safe, he identifies the proper shutoff or bypass.	A practical clue about the hazard's counterplay.	The same system connects to another room in this neighborhood.
job-goblin	cleanup	encounter	Post-incident cleanup	Once the immediate threat is over, the Job Goblin arrives with a wheeled bin and begins documenting the damage.	Please leave recognizable pieces in separate piles. Inventory gets particular.	He identifies an overlooked but mundane item among the remains.	One useful piece of common adventuring gear chosen by the DM.	His incident form names a supervisor station deeper in the dungeon.
job-goblin	wall-patch	any	A professional repair	The Job Goblin applies mortar to an ancient crack whose edges continue well beyond his ladder.	Temporary repair. Estimated duration: longer than my shift.	He completes a neat patch and asks the party not to lean on it until tomorrow.	-	The crack carries a faint draft from an unmapped space.
job-goblin	supply-delivery	any	Delivery in progress	The Job Goblin pushes a handcart stacked with labeled boxes and checks every doorway against a delivery manifest.	I can accept one reasonable work request while I am in the area.	He will consider one modest maintenance task the DM can remember for a future appearance.	A stamped receipt declaring the party authorized recipients of one mundane supply.	One crate is addressed to a location not shown on ordinary dungeon signs.
job-goblin	armor-polish	peaceful	Equipment care	The Job Goblin polishes a battered display of old armor, working around every dent rather than disguising it.	Historical damage is not dirt. Different department.	He points out which piece remains structurally sound, then returns to polishing.	A small tin of protective weapon and armor oil.	One dent matches an unusual weapon shape.
job-goblin	crack-measure	any	Measuring the impossible	The Job Goblin stretches a measuring tape across a crack, frowns, and starts again from the opposite wall.	It was wider yesterday. That is outside acceptable tolerances.	He files an escalation notice and advises the party where not to stand.	A precise warning about unstable terrain in this room.	The measurements imply slow movement in the surrounding architecture.
stranger	shared-apple	any	A quiet meal	The Stranger sits comfortably on a low stone, cutting an apple into careful, equal slices.	A journey can be measured by what you still choose to share.	He offers a slice, listens to any answer, and departs during the next distraction.	-	He glances once toward the least inviting exit.
stranger	mended-strap	any	A small repair	The Stranger patiently mends a worn strap on an old pack, using thread the color of ash.	Most failures announce themselves softly before they become loud.	He finishes the stitch, tests it, and leaves the repaired pack where it can be found.	A serviceable empty backpack.	The pack contains dust from a different dungeon district.
stranger	three-cups	peaceful	Tea already poured	The Stranger waits beside a small kettle with more cups than he appears to need.	Hospitality is sometimes an answer to a question nobody asked.	He shares the tea, asks where the party feels most at home, and is gone when the cups are collected.	-	One cup bears an old maker's mark from the surface.
stranger	listening-wall	any	Listening to the stone	The Stranger rests two fingers against a wall as though taking its pulse.	Old places remember pressure better than names.	He invites one character to listen, then steps away without explaining what he heard.	-	A patient listener can hear water, machinery, or distant movement at the DM's choice.
stranger	chess-problem	peaceful	An unfinished game	The Stranger studies a travel chessboard with only seven pieces remaining.	The difficult move is rarely the one that wins immediately.	He asks which piece the party would save, accepts the answer, and closes the board.	-	One piece has been placed to indicate the direction of a nearby route.
stranger	old-song	any	A melody without words	The Stranger hums a slow melody while cleaning dust from an otherwise unremarkable seat.	Some songs survive because nobody agrees on the words.	He listens if the party supplies a verse, then leaves before the melody resolves.	-	The tune is faintly echoed by air moving through one exit.
stranger	question-of-doors	any	A patient question	The Stranger stands between two paths, regarding neither as though it were more important.	Which door would you choose if you knew both led somewhere useful?	He considers the party's reasoning, thanks them, and chooses neither visible exit.	-	His question draws attention to signs of traffic the party might otherwise miss.
stranger	borrowed-light	any	A borrowed flame	The Stranger shields a tiny lamp whose flame burns steadily despite the dungeon air.	Light is most useful when it shows you what you hoped was not there.	He lets the party use the lamp to inspect the room, then extinguishes it between two fingers.	-	The brief light reveals an old repair or concealed seam at the DM's discretion.
stranger	stone-stack	any	A careful balance	The Stranger balances five rough stones in a narrow tower that should not remain standing.	Patience is not waiting. It is choosing what not to disturb.	He leaves the tower behind; it falls only after everyone looks away.	-	The stones came from several different nearby environments.
stranger	clean-bandage	any	Prepared kindness	The Stranger folds a clean bandage beside a cup of water and watches the room settle into silence.	Being ready to help is different from expecting harm.	He offers the bandage to whoever needs it most, asks no questions, and slips away afterward.	A single use of basic healer's supplies.	The water is fresh and came from somewhere nearby.
