name	category	rarity	description
Driftglobe	wondrous	uncommon	A cloudy glass orb floats a finger's width above its padded case.
Dust of Disappearance	wondrous	uncommon	A small packet holds glittering dust that vanishes against skin.
Elemental Gem	wondrous	uncommon	Energy flickers deep within a gemstone aligned to one element.
Eversmoking Bottle	wondrous	uncommon	Smoke leaks around the stopper but disappears before leaving the bottle.
Eyes of Minute Seeing	wondrous	uncommon	Crystal lenses reveal scratches too fine to see unaided.
Figurine of Wondrous Power	wondrous	rare	A small animal figurine carries a command word beneath its base.
Gauntlets of Ogre Power	wondrous	uncommon	Oversized iron gauntlets resize when both are worn.
Gloves of Thievery	wondrous	uncommon	These thin gray gloves leave no fingerprints on polished metal.
Goggles of Night	wondrous	uncommon	Smoky lenses remain easy to see through in total darkness.
Hat of Disguise	wondrous	uncommon	This plain hat contains a mirror and several impossible reflections.
Immovable Rod	wondrous	uncommon	A heavy iron rod has one button and no visible mounting hardware.
Lantern of Revealing	wondrous	uncommon	The lantern's clear panes are engraved with open eyes.
Portable Hole	wondrous	rare	A folded circle of black cloth seems to have no visible surface.
Robe of Useful Items	wondrous	uncommon	Several embroidered patches depict practical objects ready to be removed.
Rope of Climbing	wondrous	uncommon	This silk rope twitches toward secure anchor points.
Sending Stones	wondrous	uncommon	Two matching stones bear names that have been carefully filed away.
Stone of Good Luck	wondrous	uncommon	A smooth agate charm has been handled by generations of anxious owners.
Prisoner's Seal	quest	uncommon	A signet proves that a named captive was held here under secret authority.
Broken Treaty Tablet	quest	rare	Two fitted stone fragments preserve clauses someone tried to erase.
Dragon Egg Shell Fragment	quest	rare	A warm scale-like shell piece bears fresh tool marks along one edge.
Cult Ledger	quest	uncommon	Coded payments connect several respectable names to forbidden ceremonies.
Vault Key Half	quest	uncommon	Half of a complex key includes alignment marks for its missing partner.
Royal Bloodline Locket	quest	rare	A portrait locket and hair sample could support a dangerous inheritance claim.
Planar Coordinate Lens	quest	very-rare	A crystal lens reveals one set of coordinates when held to starlight.
Saint's Finger Bone	quest	rare	A labeled reliquary may hold a genuine relic, a forgery, or both.
Monster Bounty Token	quest	uncommon	An official token promises payment for proof that a specific creature is dead.
Encoded War Map	quest	rare	Heat reveals troop marks and a route toward an unguarded stronghold entrance.
Indecipherable Treasure Map	curiosity	curiosity	The map shows recognizable landmarks but uses symbols from no known legend.
Tiny Mechanical Crab	curiosity	curiosity	A wind-up brass crab always walks toward the nearest source of salt water.
Glass Eye with Moving Pupil	curiosity	curiosity	The pupil tracks one empty corner whenever the eye is uncovered.
Vial of Dragon Blood	curiosity	uncommon	Dark blood warms near dragons and stains glass with branching patterns.
Coal-Like Gemstone	curiosity	curiosity	The dull lump reveals internal fire only when held by bare skin.
Key with No Teeth	curiosity	curiosity	The blank key turns smoothly in one unidentified lock-shaped object nearby.
Preserved Monster Tooth	curiosity	mundane	A drilled tooth bears tally marks and the initials of several hunters.
Bottle of Whispering Sand	curiosity	curiosity	Shaking the bottle produces a voice speaking a few seconds from the past.
Unfinished Prophecy Card	curiosity	curiosity	The illuminated card leaves a blank space where the final figure should stand.
Compass Pointing Underground	curiosity	curiosity	The brass needle angles downward and slowly rotates as the holder moves.
