depth_band	neighborhood	phase	category	title	description	implication	presentation
middle	*	1	practical	Rope-Length Calculation	Gary's field card gives an exact rope length for a drop that appears much shallower from the edge.	A weighted line confirms the stated depth and reveals a safe ledge at precisely the recorded distance.	direct
middle	*	2	practical	False Handle Mark	A note signed "— Gary" reads, "Blue handle opens it. Brass handle rings the alarm."	A faded blue handle is partly concealed by grime; the polished brass handle connects to an old warning bell.	direct
middle	*	3	maintenance	Quarterly Lubrication	A maintenance sheet names Gary and lists an overdue wheel, chain, and hidden axle.	A removable panel beside the mechanism exposes the axle; lubrication quiets and loosens all three components.	direct
middle	arcane-complex	4	maintenance	Calibration Sequence	A card signed "Gary" records the safe order for waking three dormant indicators.	The indicators respond in the recorded sequence and expose which nearby conduit still carries power.	direct
middle	lost-mines	5	maintenance	Pump Inspection	Gary's inspection log notes that the pump needs three slow turns before the stuck valve releases.	Three deliberate turns free the valve; forcing it sooner would spill water into the work area.	direct
middle	*	0	maintenance	Replacement Hatch Screws	A packet addressed to Gary holds four screws and says, "For the hatch nobody sees until the lantern is low."	Lowering a light throws shadows across a concealed maintenance hatch whose four empty screw holes match the packet.	direct
middle	ancient-fortress	1	maintenance	Gate Counterweight	A service note signed "Gary" records a counterweight that settles two inches before a gate can move.	The counterweight visibly settles when pressure is applied; waiting for it prevents the gate from jamming.	direct
middle	*	2	observational	Feeding Route	A field note labeled "Gary — observation 12" records that local creatures avoid the corridor immediately after feeding.	Bones, scraps, and tracks reveal the feeding route and confirm a predictable quiet interval.	direct
middle	flooded-depths	3	observational	Current Reversal	Gary's water log says the current reverses briefly whenever the distant machinery stops.	The current slackens exactly when the machinery falls silent, allowing a safer crossing or retrieval.	direct
middle	*	4	observational	Stone Movement Log	A measurement sheet signed "Gary" records that one wall moves a finger-width each week.	Old gauge marks confirm the motion and identify a widening seam that can serve as a narrow access point.	direct
middle	*	5	observational	Patrol Exception	A patrol chart bearing Gary's name notes, "They skip the route when the red lamp is dark."	Tracks bypass the room when its red lamp is extinguished, confirming the exception.	direct
middle	cult-temple	0	observational	Guest Ledger	A ritual ledger truthfully lists Gary as both "prisoner received" and "guest expected" on the same date.	Separate clerks made the entries for different doors, creating a misleading impression without falsifying either record.	misleading
middle	*	1	personal	Tea Margin	A precise route survey signed "Gary" ends with, "Tea cold again. Must learn to stop measuring while it is still drinkable."	A ring from a cup sits beside the final measurement; every recorded dimension proves accurate.	direct
middle	*	2	personal	Small Joke	A maintenance card initialed "G." and issued to Gary says, "This switch controls the light. The other switch controls regret."	The first switch safely illuminates the area; the second is wired to a noisy but harmless maintenance alarm.	direct
deep	*	3	practical	Recovering Walkway Note	A note signed "Gary" reads, "Step off after the fourth pulse. The walkway returns on the fifth."	Wear marks and a repeating vibration confirm the timing; following it crosses the moving section safely.	direct
deep	*	4	practical	Safe Barrier Test	Gary's test card says a temporary barrier drops when two floor marks are covered at once.	Two faint matching marks activate the mechanism exactly as recorded when occupied simultaneously.	direct
deep	*	5	maintenance	Repeated Repair Log	A repair log signed by Gary lists the same cracked support on six dates and adds, "It moves; it does not fail."	The support flexes under load but returns to its mark; adjacent fixed stone is the actual brittle section.	direct
deep	arcane-complex	0	maintenance	Training Relay Note	A calibration note signed "Gary" reads, "Reset after every attempt. It is supposed to let them try again."	A concealed reset panel restores the room's training device or moving feature after a failed attempt.	direct
deep	*	1	maintenance	Spare Parts Cache	A manifest names Gary as recipient of gears, chalk, bandages, and tea, with "leave behind the narrow panel" added below.	A concealed narrow panel contains a small cache of mundane replacement parts matching the manifest.	direct
deep	*	2	observational	Adaptation Record	Gary's observation log notes that the local creatures changed routes after the party disturbed the upper levels.	Newer tracks confirm the altered route and show which approach the creatures now watch.	direct
deep	catacombs	3	observational	Silence Interval	A memorandum signed "Gary" records seven breaths of silence before the dead react to a closing door.	The delay is exact, allowing observant characters to move, hide, or prepare before attention shifts.	direct
deep	flooded-depths	4	observational	Water Memory	Gary's gauge sheet notes that the chamber drains to the same cracked tile after every surge.	Stains converge on that tile; lifting it reveals a protected drain control or dry recess.	direct
deep	*	5	observational	Previous Attempts	A tally titled "Gary's Notes — Attempts" records several solutions and circles the only one that required everyone to move together.	Scuffs at several positions confirm the coordinated route and show where each participant stood.	direct
deep	ancient-fortress	0	observational	Guard Response Study	Gary's study says the defenders reinforce whichever entrance makes the most noise and neglect the opposite side.	Old response marks and current tracks support the pattern, offering a deliberate diversion opportunity.	direct
deep	*	1	observational	Question in the Margin	A survey signed "Gary" asks, "Did you notice the second echo, or were you in a hurry again?"	A second echo reveals a hollow wall and a concealed inspection cavity behind one of the room's supports.	direct
deep	*	2	personal	Encouraging Correction	A route card signed "Gary" corrects three measurements and adds, "If you found all three errors, you are paying attention. Good."	Each correction matches the room precisely; following them identifies the safest exit.	direct
deep	*	3	personal	Shared Tea Reminder	A note headed "Gary — before they arrive" reads, "Fresh water, clean cups, patient questions. Do not lecture."	A nearby water source is clean, and a protected shelf holds carefully washed but mismatched cups.	direct
deep	buried-city	4	personal	Sketch of Travelers	A page from Gary's notebook sketches a small group crossing a ruined plaza and asks, "Will they argue first, or look up?"	Looking above the corresponding room reveals an overlooked balcony, route marker, or stable overhead anchor.	direct
deep	*	5	personal	Lonely Inventory	Gary's inventory lists tools, food, lamps, and "one chair too many, in case somebody finally stays to talk."	A serviceable extra chair has been repaired repeatedly and placed where it faces the safest entrance.	direct
deep	*	0	personal	Survival Note	A folded page signed "Gary" reads, "If you are reading this, you survived the part I worried about most."	Damage and repair marks show that the preceding route was once more dangerous and was deliberately made survivable.	direct
extreme	*	1	practical	Final Footing Lesson	A card signed "Gary" reads, "You know this mark now. Trust the circle, test the square, and leave the triangle alone."	All three familiar marks behave consistently with earlier clues, rewarding the party for remembering them.	direct
extreme	*	2	maintenance	Last Inspection	A final inspection sheet signed "Gary" reads, "Everything you need still works. I checked twice because you are nearly here."	Every listed mechanism functions, including a concealed access panel revealed by the sheet's measurements.	direct
extreme	*	3	observational	Teamwork Record	Gary's observation page reads, "You recover faster when nobody tries to solve everything alone. I hoped you would notice."	Marks from earlier travelers show failed solo attempts beside one successful coordinated solution.	direct
extreme	*	4	observational	Courage Without Haste	A note signed "Gary" says, "You are brave. More importantly, you have learned when bravery should wait six seconds."	A six-second mechanical cycle creates the exact safe opening described by the note.	direct
extreme	*	5	observational	Chosen Route Summary	Gary's route summary lists several choices the party could have made and concludes, "The route mattered less than why you chose it."	The alternatives remain physically visible and viable, confirming that none was secretly the single correct path.	direct
extreme	*	0	observational	Learned Pattern	A card labeled "Gary's Final Observations" reads, "You stopped treating every moving wall as an enemy. Excellent."	A moving wall nearby creates cover and a route when approached with the timing established in earlier rooms.	direct
extreme	arcane-complex	1	observational	Reset Count	A counter log signed "Gary" records every reset and adds, "You tried again faster each time. That is part of the examination."	A concealed counter advances only after failed attempts and resets the device so another solution remains possible.	direct
extreme	catacombs	2	observational	Quiet Witness	A sealed note from Gary reads, "You showed kindness when nothing here required it. I was watching for that too."	Evidence of a spared creature or respectfully handled resting place supports the observation without identifying the watcher.	direct
extreme	*	3	personal	Meeting Checklist	Gary's checklist reads, "Sweep. Tea. Moving bridges. Questions. Try not to look too pleased when they arrive for the meeting."	A swept route and freshly prepared service alcove show that someone expects the party soon.	direct
extreme	*	4	personal	Almost Ready	A folded note signed "— Gary" reads, "I think you are finally ready. I hope I am."	Fresh chalk arrows point onward, while a carefully repaired retreat route remains available behind the party.	direct
extreme	*	5	personal	Unsent Welcome	A letter in an envelope marked "From Gary, for whoever reaches me" begins, "You took longer than I guessed and less time than I feared."	The paper and ink are recent, and the route named in its closing line is open exactly as promised.	direct
extreme	buried-city	0	personal	Two Place Settings	Gary's note reads, "You may bring everyone. I was never going to make you choose who gets to meet me."	A nearby table has enough mismatched settings for the whole party and one additional place.	direct
extreme	*	1	personal	Practice Greeting	A page titled "Gary — Final Greeting, revisions" contains several crossed-out welcomes and ends, "Hello. You made it. Good."	The page is freshly blotted and lies beside a route that has just been cleared for the party.	direct
extreme	cult-temple	2	personal	Following Note	A pursuer's note truthfully says, "Gary is following you now," while a later line adds, "or perhaps preparing the way ahead."	Tracks approach from behind but maintenance work appears ahead, encouraging an incomplete conclusion without making either observation false.	misleading
extreme	*	3	personal	One Last Reminder	A note signed "Gary" reads, "Before we meet: watch your footing, listen to each other, and remember that the room is trying to teach you."	The next mechanism telegraphs its cycle through floor marks and sound, exactly matching the reminder.	direct
extreme	*	4	personal	Open Invitation	A card bearing Gary's name reads, "The Final Examination is ahead. You may turn back. If you continue, come as you are."	Both the onward route and a safe return path are genuinely open; no mechanism forces the choice.	direct
